month,precipitation_sum,rain_sum,temperature_2m_max,temperature_2m_min
2003-03-01,5.0,5.0,28.9,15.041935483870969
2003-04-01,8.3,8.3,37.233333333333334,21.529999999999998
2003-05-01,12.0,12.0,39.65483870967742,24.17096774193548
2003-06-01,56.2,56.2,39.63666666666666,28.383333333333333
2003-07-01,273.0,273.0,31.603225806451615,25.783870967741933
2003-08-01,273.2,273.2,31.44193548387097,25.448387096774194
2003-09-01,187.9,187.9,30.3,23.686666666666667
2003-10-01,0.0,0.0,30.619354838709675,17.358064516129033
2003-11-01,0.0,0.0,25.92,12.716666666666667
2003-12-01,14.8,14.8,21.193548387096776,9.583870967741936
2004-01-01,31.0,31.0,18.98709677419355,7.741935483870968
2004-02-01,0.0,0.0,24.50344827586207,10.56551724137931
2004-03-01,0.0,0.0,33.38709677419355,17.241935483870968
2004-04-01,38.8,38.8,37.766666666666666,22.529999999999998
2004-05-01,11.0,11.0,39.63870967741936,26.061290322580643
2004-06-01,28.2,28.2,37.37,27.403333333333332
2004-07-01,68.9,68.9,36.900000000000006,28.103225806451615
2004-08-01,213.0,213.0,32.012903225806454,25.583870967741937
2004-09-01,25.8,25.8,33.86666666666667,24.316666666666666
2004-10-01,49.0,49.0,29.706451612903226,18.693548387096776
2004-11-01,9.3,9.3,27.57,14.31
2004-12-01,0.4,0.4,22.82903225806452,10.51290322580645
2005-01-01,21.7,21.7,19.648387096774194,8.503225806451614
2005-02-01,38.2,38.2,22.303571428571427,10.971428571428572
2005-03-01,28.2,28.2,29.95483870967742,16.42258064516129
2005-04-01,10.1,10.1,36.35333333333333,20.183333333333334
2005-05-01,12.7,12.7,39.08064516129032,24.31612903225807
2005-06-01,110.10000000000001,110.10000000000001,39.983333333333334,28.353333333333335
2005-07-01,252.5,252.5,32.229032258064514,26.061290322580643
2005-08-01,50.6,50.6,34.04838709677419,26.63225806451613
2005-09-01,192.9,192.9,32.059999999999995,24.756666666666668
2005-10-01,0.2,0.2,31.638709677419353,18.432258064516127
2005-11-01,1.4,1.4,27.65666666666667,13.546666666666665
2005-12-01,0.6,0.6,22.051612903225806,7.541935483870968
